realtime_start,realtime_end,date,value
2025-09-13,2025-09-13,1997-02-01,3.28
2025-09-13,2025-09-13,1997-03-01,3.44
2025-09-13,2025-09-13,1997-04-01,3.62
2025-09-13,2025-09-13,1997-05-01,3.58
2025-09-13,2025-09-13,1997-06-01,3.59
2025-09-13,2025-09-13,1997-07-01,3.64
2025-09-13,2025-09-13,1997-08-01,3.57
2025-09-13,2025-09-13,1997-09-01,3.58
2025-09-13,2025-09-13,1997-10-01,3.57
2025-09-13,2025-09-13,1997-11-01,3.54
2025-09-13,2025-09-13,1997-12-01,3.6
2025-09-13,2025-09-13,1998-01-01,3.69
2025-09-13,2025-09-13,1998-02-01,3.67
2025-09-13,2025-09-13,1998-03-01,3.73
2025-09-13,2025-09-13,1998-04-01,3.79
2025-09-13,2025-09-13,1998-05-01,3.79
2025-09-13,2025-09-13,1998-06-01,3.75
2025-09-13,2025-09-13,1998-07-01,3.8
2025-09-13,2025-09-13,1998-08-01,3.84
2025-09-13,2025-09-13,1998-09-01,3.69
2025-09-13,2025-09-13,1998-10-01,3.62
2025-09-13,2025-09-13,1998-11-01,3.77
2025-09-13,2025-09-13,1998-12-01,3.81
2025-09-13,2025-09-13,1999-01-01,3.83
2025-09-13,2025-09-13,1999-02-01,3.81
2025-09-13,2025-09-13,1999-03-01,3.93
2025-09-13,2025-09-13,1999-04-01,3.91
2025-09-13,2025-09-13,1999-05-01,3.85
2025-09-13,2025-09-13,1999-06-01,3.93
2025-09-13,2025-09-13,1999-07-01,4
2025-09-13,2025-09-13,1999-08-01,4.03
2025-09-13,2025-09-13,1999-09-01,4.07
2025-09-13,2025-09-13,1999-10-01,4.13
2025-09-13,2025-09-13,1999-11-01,4.11
2025-09-13,2025-09-13,1999-12-01,4.25
2025-09-13,2025-09-13,2000-01-01,4.37
2025-09-13,2025-09-13,2000-02-01,4.3
2025-09-13,2025-09-13,2000-03-01,4.18
2025-09-13,2025-09-13,2000-04-01,4
2025-09-13,2025-09-13,2000-05-01,4.18
2025-09-13,2025-09-13,2000-06-01,4.1
2025-09-13,2025-09-13,2000-07-01,4.04
2025-09-13,2025-09-13,2000-08-01,4.02
2025-09-13,2025-09-13,2000-09-01,4
2025-09-13,2025-09-13,2000-10-01,3.9
2025-09-13,2025-09-13,2000-11-01,3.84
2025-09-13,2025-09-13,2000-12-01,3.75
2025-09-13,2025-09-13,2001-01-01,3.45
2025-09-13,2025-09-13,2001-02-01,3.29
2025-09-13,2025-09-13,2001-03-01,3.18
2025-09-13,2025-09-13,2001-04-01,3.13
2025-09-13,2025-09-13,2001-05-01,2.95
2025-09-13,2025-09-13,2001-06-01,2.95
2025-09-13,2025-09-13,2001-07-01,3.11
2025-09-13,2025-09-13,2001-08-01,3.04
2025-09-13,2025-09-13,2001-09-01,2.92
2025-09-13,2025-09-13,2001-10-01,2.72
2025-09-13,2025-09-13,2001-11-01,2.89
2025-09-13,2025-09-13,2001-12-01,3.25
2025-09-13,2025-09-13,2002-01-01,3.16
2025-09-13,2025-09-13,2002-02-01,2.91
2025-09-13,2025-09-13,2002-03-01,2.93
2025-09-13,2025-09-13,2002-04-01,2.64
2025-09-13,2025-09-13,2002-05-01,2.5
2025-09-13,2025-09-13,2002-06-01,2.46
2025-09-13,2025-09-13,2002-07-01,2.25
2025-09-13,2025-09-13,2002-08-01,1.79
2025-09-13,2025-09-13,2002-09-01,1.48
2025-09-13,2025-09-13,2002-10-01,1.53
2025-09-13,2025-09-13,2002-11-01,1.6
2025-09-13,2025-09-13,2002-12-01,1.58
2025-09-13,2025-09-13,2003-01-01,1.31
2025-09-13,2025-09-13,2003-02-01,0.87
2025-09-13,2025-09-13,2003-03-01,0.66
2025-09-13,2025-09-13,2003-04-01,0.89
2025-09-13,2025-09-13,2003-05-01,0.73
2025-09-13,2025-09-13,2003-06-01,0.49
2025-09-13,2025-09-13,2003-07-01,0.78
2025-09-13,2025-09-13,2003-08-01,0.91
2025-09-13,2025-09-13,2003-09-01,0.68
2025-09-13,2025-09-13,2003-10-01,0.5
2025-09-13,2025-09-13,2003-11-01,0.61
2025-09-13,2025-09-13,2003-12-01,0.62
2025-09-13,2025-09-13,2004-01-01,0.44
2025-09-13,2025-09-13,2004-02-01,0.15
2025-09-13,2025-09-13,2004-03-01,-0.23
2025-09-13,2025-09-13,2004-04-01,0.15
2025-09-13,2025-09-13,2004-05-01,0.44
2025-09-13,2025-09-13,2004-06-01,0.53
2025-09-13,2025-09-13,2004-07-01,0.40
2025-09-13,2025-09-13,2004-08-01,0.29
2025-09-13,2025-09-13,2004-09-01,0.36
2025-09-13,2025-09-13,2004-10-01,0.22
2025-09-13,2025-09-13,2004-11-01,0.20
2025-09-13,2025-09-13,2004-12-01,0.30
2025-09-13,2025-09-13,2005-01-01,0.66
2025-09-13,2025-09-13,2005-02-01,0.67
2025-09-13,2025-09-13,2005-03-01,0.59
2025-09-13,2025-09-13,2005-04-01,0.44
2025-09-13,2025-09-13,2005-05-01,0.64
2025-09-13,2025-09-13,2005-06-01,1.06
2025-09-13,2025-09-13,2005-07-01,1.43
2025-09-13,2025-09-13,2005-08-01,1.21
2025-09-13,2025-09-13,2005-09-01,0.54
2025-09-13,2025-09-13,2005-10-01,0.91
2025-09-13,2025-09-13,2005-11-01,1.84
2025-09-13,2025-09-13,2005-12-01,2.49
2025-09-13,2025-09-13,2006-01-01,2.13
2025-09-13,2025-09-13,2006-02-01,1.73
2025-09-13,2025-09-13,2006-03-01,1.76
2025-09-13,2025-09-13,2006-04-01,1.74
2025-09-13,2025-09-13,2006-05-01,1.86
2025-09-13,2025-09-13,2006-06-01,2.46
2025-09-13,2025-09-13,2006-07-01,2.91
2025-09-13,2025-09-13,2006-08-01,3.05
2025-09-13,2025-09-13,2006-09-01,5.07
2025-09-13,2025-09-13,2006-10-01,7.73
2025-09-13,2025-09-13,2006-11-01,9.21
2025-09-13,2025-09-13,2006-12-01,8.96
