realtime_start,realtime_end,date,value
2025-09-11,2025-09-11,2006-12-01,100.0
2025-09-11,2025-09-11,2007-01-01,102.3
2025-09-11,2025-09-11,2007-02-01,101.9
2025-09-11,2025-09-11,2007-03-01,102.5
2025-09-11,2025-09-11,2007-04-01,103.5
2025-09-11,2025-09-11,2007-05-01,105.7
2025-09-11,2025-09-11,2007-06-01,106.6
2025-09-11,2025-09-11,2007-07-01,106.3
2025-09-11,2025-09-11,2007-08-01,104.7
2025-09-11,2025-09-11,2007-09-01,104.8
2025-09-11,2025-09-11,2007-10-01,105.9
2025-09-11,2025-09-11,2007-11-01,105.6
2025-09-11,2025-09-11,2007-12-01,104.5
2025-09-11,2025-09-11,2008-01-01,105.7
2025-09-11,2025-09-11,2008-02-01,105.1
2025-09-11,2025-09-11,2008-03-01,105.2
2025-09-11,2025-09-11,2008-04-01,107.4
2025-09-11,2025-09-11,2008-05-01,106.6
2025-09-11,2025-09-11,2008-06-01,107.9
2025-09-11,2025-09-11,2008-07-01,109.1
2025-09-11,2025-09-11,2008-08-01,109.2
2025-09-11,2025-09-11,2008-09-01,109.5
2025-09-11,2025-09-11,2008-10-01,109.4
2025-09-11,2025-09-11,2008-11-01,109.6
2025-09-11,2025-09-11,2008-12-01,109.5
2025-09-11,2025-09-11,2009-01-01,107.7
2025-09-11,2025-09-11,2009-02-01,107.6
2025-09-11,2025-09-11,2009-03-01,108.6
2025-09-11,2025-09-11,2009-04-01,108.1
2025-09-11,2025-09-11,2009-05-01,107.6
2025-09-11,2025-09-11,2009-06-01,108.6
2025-09-11,2025-09-11,2009-07-01,108.6
2025-09-11,2025-09-11,2009-08-01,107.8
2025-09-11,2025-09-11,2009-09-01,108.6
2025-09-11,2025-09-11,2009-10-01,107.7
2025-09-11,2025-09-11,2009-11-01,109.3
2025-09-11,2025-09-11,2009-12-01,109.3
2025-09-11,2025-09-11,2010-01-01,108.7
2025-09-11,2025-09-11,2010-02-01,110.3
2025-09-11,2025-09-11,2010-03-01,109.6
2025-09-11,2025-09-11,2010-04-01,111.3
2025-09-11,2025-09-11,2010-05-01,111.8
2025-09-11,2025-09-11,2010-06-01,109.1
2025-09-11,2025-09-11,2010-07-01,109.8
2025-09-11,2025-09-11,2010-08-01,109.6
2025-09-11,2025-09-11,2010-09-01,110.0
2025-09-11,2025-09-11,2010-10-01,111.4
2025-09-11,2025-09-11,2010-11-01,110.6
2025-09-11,2025-09-11,2010-12-01,110.5
2025-09-11,2025-09-11,2011-01-01,110.1
2025-09-11,2025-09-11,2011-02-01,111.3
2025-09-11,2025-09-11,2011-03-01,113.1
2025-09-11,2025-09-11,2011-04-01,112.3
2025-09-11,2025-09-11,2011-05-01,113.3
2025-09-11,2025-09-11,2011-06-01,113.2
2025-09-11,2025-09-11,2011-07-01,112.0
2025-09-11,2025-09-11,2011-08-01,114.3
2025-09-11,2025-09-11,2011-09-01,115.2
2025-09-11,2025-09-11,2011-10-01,114.3
2025-09-11,2025-09-11,2011-11-01,115.2
2025-09-11,2025-09-11,2011-12-01,114.2
2025-09-11,2025-09-11,2012-01-01,113.6
2025-09-11,2025-09-11,2012-02-01,115.1
2025-09-11,2025-09-11,2012-03-01,116.1
2025-09-11,2025-09-11,2012-04-01,117.2
2025-09-11,2025-09-11,2012-05-01,117.8
2025-09-11,2025-09-11,2012-06-01,117.7
2025-09-11,2025-09-11,2012-07-01,115.9
2025-09-11,2025-09-11,2012-08-01,115.6
2025-09-11,2025-09-11,2012-09-01,116.0
2025-09-11,2025-09-11,2012-10-01,117.8
2025-09-11,2025-09-11,2012-11-01,118.0
2025-09-11,2025-09-11,2012-12-01,118.0
2025-09-11,2025-09-11,2013-01-01,115.6
2025-09-11,2025-09-11,2013-02-01,117.9
2025-09-11,2025-09-11,2013-03-01,118.9
2025-09-11,2025-09-11,2013-04-01,119.5
2025-09-11,2025-09-11,2013-05-01,118.1
2025-09-11,2025-09-11,2013-06-01,118.6
2025-09-11,2025-09-11,2013-07-01,119.2
2025-09-11,2025-09-11,2013-08-01,119.5
2025-09-11,2025-09-11,2013-09-01,119.6
2025-09-11,2025-09-11,2013-10-01,121.3
2025-09-11,2025-09-11,2013-11-01,120.3
2025-09-11,2025-09-11,2013-12-01,118.5
2025-09-11,2025-09-11,2014-01-01,118.2
2025-09-11,2025-09-11,2014-02-01,119.7
2025-09-11,2025-09-11,2014-03-01,121.3
2025-09-11,2025-09-11,2014-04-01,120.6
2025-09-11,2025-09-11,2014-05-01,121.3
2025-09-11,2025-09-11,2014-06-01,119.6
2025-09-11,2025-09-11,2014-07-01,121.7
2025-09-11,2025-09-11,2014-08-01,121.3
2025-09-11,2025-09-11,2014-09-01,120.6
2025-09-11,2025-09-11,2014-10-01,125.1
2025-09-11,2025-09-11,2014-11-01,123.5
2025-09-11,2025-09-11,2014-12-01,123.4
2025-09-11,2025-09-11,2015-01-01,122.7
2025-09-11,2025-09-11,2015-02-01,123.0
2025-09-11,2025-09-11,2015-03-01,123.7
2025-09-11,2025-09-11,2015-04-01,123.8
2025-09-11,2025-09-11,2015-05-01,122.9
2025-09-11,2025-09-11,2015-06-01,122.8
2025-09-11,2025-09-11,2015-07-01,123.6
2025-09-11,2025-09-11,2015-08-01,124.2
2025-09-11,2025-09-11,2015-09-01,124.9
2025-09-11,2025-09-11,2015-10-01,125.3
2025-09-11,2025-09-11,2015-11-01,124.9
2025-09-11,2025-09-11,2015-12-01,123.9
2025-09-11,2025-09-11,2016-01-01,124.5
2025-09-11,2025-09-11,2016-02-01,124.1
2025-09-11,2025-09-11,2016-03-01,124.4
2025-09-11,2025-09-11,2016-04-01,125.4
2025-09-11,2025-09-11,2016-05-01,124.8
2025-09-11,2025-09-11,2016-06-01,125.8
2025-09-11,2025-09-11,2016-07-01,125.2
2025-09-11,2025-09-11,2016-08-01,124.5
2025-09-11,2025-09-11,2016-09-01,125.8
2025-09-11,2025-09-11,2016-10-01,127.2
2025-09-11,2025-09-11,2016-11-01,126.2
2025-09-11,2025-09-11,2016-12-01,124.8
2025-09-11,2025-09-11,2017-01-01,125.8
2025-09-11,2025-09-11,2017-02-01,125.4
2025-09-11,2025-09-11,2017-03-01,127.1
2025-09-11,2025-09-11,2017-04-01,127.0
2025-09-11,2025-09-11,2017-05-01,126.9
2025-09-11,2025-09-11,2017-06-01,126.4
2025-09-11,2025-09-11,2017-07-01,125.6
2025-09-11,2025-09-11,2017-08-01,125.7
2025-09-11,2025-09-11,2017-09-01,126.4
2025-09-11,2025-09-11,2017-10-01,129.3
2025-09-11,2025-09-11,2017-11-01,127.5
2025-09-11,2025-09-11,2017-12-01,126.5
2025-09-11,2025-09-11,2018-01-01,126.0
2025-09-11,2025-09-11,2018-02-01,128.1
2025-09-11,2025-09-11,2018-03-01,127.8
2025-09-11,2025-09-11,2018-04-01,128.1
2025-09-11,2025-09-11,2018-05-01,128.2
2025-09-11,2025-09-11,2018-06-01,128.9
2025-09-11,2025-09-11,2018-07-01,127.9
2025-09-11,2025-09-11,2018-08-01,128.1
2025-09-11,2025-09-11,2018-09-01,128.0
2025-09-11,2025-09-11,2018-10-01,130.5
2025-09-11,2025-09-11,2018-11-01,131.0
2025-09-11,2025-09-11,2018-12-01,130.8
2025-09-11,2025-09-11,2019-01-01,129.7
2025-09-11,2025-09-11,2019-02-01,130.4
2025-09-11,2025-09-11,2019-03-01,130.6
2025-09-11,2025-09-11,2019-04-01,131.6
2025-09-11,2025-09-11,2019-05-01,130.6
2025-09-11,2025-09-11,2019-06-01,131.8
2025-09-11,2025-09-11,2019-07-01,130.6
2025-09-11,2025-09-11,2019-08-01,133.1
2025-09-11,2025-09-11,2019-09-01,133.3
2025-09-11,2025-09-11,2019-10-01,134.6
2025-09-11,2025-09-11,2019-11-01,132.4
2025-09-11,2025-09-11,2019-12-01,131.7
2025-09-11,2025-09-11,2020-01-01,131.9
2025-09-11,2025-09-11,2020-02-01,134.1
2025-09-11,2025-09-11,2020-03-01,136.4
2025-09-11,2025-09-11,2020-04-01,138.1
2025-09-11,2025-09-11,2020-05-01,135.5
2025-09-11,2025-09-11,2020-06-01,134.4
2025-09-11,2025-09-11,2020-07-01,135.9
2025-09-11,2025-09-11,2020-08-01,137.3
2025-09-11,2025-09-11,2020-09-01,139.4
2025-09-11,2025-09-11,2020-10-01,142.0
2025-09-11,2025-09-11,2020-11-01,138.6
2025-09-11,2025-09-11,2020-12-01,136.8
2025-09-11,2025-09-11,2021-01-01,138.9
2025-09-11,2025-09-11,2021-02-01,140.3
2025-09-11,2025-09-11,2021-03-01,142.3
2025-09-11,2025-09-11,2021-04-01,147.1
2025-09-11,2025-09-11,2021-05-01,148.1
2025-09-11,2025-09-11,2021-06-01,150.8
2025-09-11,2025-09-11,2021-07-01,150.566
2025-09-11,2025-09-11,2021-08-01,151.422
2025-09-11,2025-09-11,2021-09-01,152.842
2025-09-11,2025-09-11,2021-10-01,153.934
2025-09-11,2025-09-11,2021-11-01,153.951
2025-09-11,2025-09-11,2021-12-01,154.382
2025-09-11,2025-09-11,2022-01-01,155.697
2025-09-11,2025-09-11,2022-02-01,159.584
