realtime_start,realtime_end,date,value
2025-09-13,2025-09-13,1959-01-01,2.3
2025-09-13,2025-09-13,1959-02-01,2.3
2025-09-13,2025-09-13,1959-03-01,2.3
2025-09-13,2025-09-13,1959-04-01,2.3
2025-09-13,2025-09-13,1959-05-01,2.3
2025-09-13,2025-09-13,1959-06-01,2.4
2025-09-13,2025-09-13,1959-07-01,2.4
2025-09-13,2025-09-13,1959-08-01,2.4
2025-09-13,2025-09-13,1959-09-01,2.5
2025-09-13,2025-09-13,1959-10-01,2.5
2025-09-13,2025-09-13,1959-11-01,2.5
2025-09-13,2025-09-13,1959-12-01,2.5
2025-09-13,2025-09-13,1960-01-01,2.6
2025-09-13,2025-09-13,1960-02-01,2.6
2025-09-13,2025-09-13,1960-03-01,2.6
2025-09-13,2025-09-13,1960-04-01,2.6
2025-09-13,2025-09-13,1960-05-01,2.7
2025-09-13,2025-09-13,1960-06-01,2.7
2025-09-13,2025-09-13,1960-07-01,2.7
2025-09-13,2025-09-13,1960-08-01,2.8
2025-09-13,2025-09-13,1960-09-01,2.8
2025-09-13,2025-09-13,1960-10-01,2.8
2025-09-13,2025-09-13,1960-11-01,2.8
2025-09-13,2025-09-13,1960-12-01,2.8
2025-09-13,2025-09-13,1961-01-01,2.9
2025-09-13,2025-09-13,1961-02-01,3.0
2025-09-13,2025-09-13,1961-03-01,3.0
2025-09-13,2025-09-13,1961-04-01,3.1
2025-09-13,2025-09-13,1961-05-01,3.2
2025-09-13,2025-09-13,1961-06-01,3.2
2025-09-13,2025-09-13,1961-07-01,3.3
2025-09-13,2025-09-13,1961-08-01,3.4
2025-09-13,2025-09-13,1961-09-01,3.5
2025-09-13,2025-09-13,1961-10-01,3.5
2025-09-13,2025-09-13,1961-11-01,3.6
2025-09-13,2025-09-13,1961-12-01,3.7
2025-09-13,2025-09-13,1962-01-01,3.8
2025-09-13,2025-09-13,1962-02-01,3.8
2025-09-13,2025-09-13,1962-03-01,3.9
2025-09-13,2025-09-13,1962-04-01,4.0
2025-09-13,2025-09-13,1962-05-01,4.0
2025-09-13,2025-09-13,1962-06-01,4.1
2025-09-13,2025-09-13,1962-07-01,4.2
2025-09-13,2025-09-13,1962-08-01,4.3
2025-09-13,2025-09-13,1962-09-01,4.4
2025-09-13,2025-09-13,1962-10-01,4.5
2025-09-13,2025-09-13,1962-11-01,4.5
2025-09-13,2025-09-13,1962-12-01,4.6
2025-09-13,2025-09-13,1963-01-01,4.7
2025-09-13,2025-09-13,1963-02-01,4.8
2025-09-13,2025-09-13,1963-03-01,4.9
2025-09-13,2025-09-13,1963-04-01,4.9
2025-09-13,2025-09-13,1963-05-01,5.0
2025-09-13,2025-09-13,1963-06-01,5.1
2025-09-13,2025-09-13,1963-07-01,5.2
2025-09-13,2025-09-13,1963-08-01,5.3
2025-09-13,2025-09-13,1963-09-01,5.4
2025-09-13,2025-09-13,1963-10-01,5.5
2025-09-13,2025-09-13,1963-11-01,5.6
2025-09-13,2025-09-13,1963-12-01,5.7
2025-09-13,2025-09-13,1964-01-01,5.8
2025-09-13,2025-09-13,1964-02-01,5.8
2025-09-13,2025-09-13,1964-03-01,5.9
2025-09-13,2025-09-13,1964-04-01,5.9
2025-09-13,2025-09-13,1964-05-01,6.0
2025-09-13,2025-09-13,1964-06-01,6.1
2025-09-13,2025-09-13,1964-07-01,6.2
2025-09-13,2025-09-13,1964-08-01,6.3
2025-09-13,2025-09-13,1964-09-01,6.4
2025-09-13,2025-09-13,1964-10-01,6.5
2025-09-13,2025-09-13,1964-11-01,6.7
2025-09-13,2025-09-13,1964-12-01,6.8
2025-09-13,2025-09-13,1965-01-01,6.9
2025-09-13,2025-09-13,1965-02-01,6.9
2025-09-13,2025-09-13,1965-03-01,6.9
2025-09-13,2025-09-13,1965-04-01,6.9
2025-09-13,2025-09-13,1965-05-01,7.0
2025-09-13,2025-09-13,1965-06-01,7.1
2025-09-13,2025-09-13,1965-07-01,7.2
2025-09-13,2025-09-13,1965-08-01,7.3
2025-09-13,2025-09-13,1965-09-01,7.5
2025-09-13,2025-09-13,1965-10-01,7.6
2025-09-13,2025-09-13,1965-11-01,7.7
2025-09-13,2025-09-13,1965-12-01,7.8
2025-09-13,2025-09-13,1966-01-01,7.9
2025-09-13,2025-09-13,1966-02-01,8.3
2025-09-13,2025-09-13,1966-03-01,9.0
2025-09-13,2025-09-13,1966-04-01,9.8
2025-09-13,2025-09-13,1966-05-01,10.6
2025-09-13,2025-09-13,1966-06-01,11.4
2025-09-13,2025-09-13,1966-07-01,12.2
2025-09-13,2025-09-13,1966-08-01,12.9
2025-09-13,2025-09-13,1966-09-01,13.6
2025-09-13,2025-09-13,1966-10-01,14.5
2025-09-13,2025-09-13,1966-11-01,15.4
2025-09-13,2025-09-13,1966-12-01,16.3
2025-09-13,2025-09-13,1967-01-01,17.4
2025-09-13,2025-09-13,1967-02-01,18.7
2025-09-13,2025-09-13,1967-03-01,19.4
2025-09-13,2025-09-13,1967-04-01,20.1
2025-09-13,2025-09-13,1967-05-01,20.8
2025-09-13,2025-09-13,1967-06-01,21.6
2025-09-13,2025-09-13,1967-07-01,22.2
2025-09-13,2025-09-13,1967-08-01,22.9
2025-09-13,2025-09-13,1967-09-01,23.6
2025-09-13,2025-09-13,1967-10-01,24.6
2025-09-13,2025-09-13,1967-11-01,25.7
2025-09-13,2025-09-13,1967-12-01,27.1
