realtime_start,realtime_end,date,value
2025-09-13,2025-09-13,1959-01-01,51.5
2025-09-13,2025-09-13,1959-02-01,51.7
2025-09-13,2025-09-13,1959-03-01,52.0
2025-09-13,2025-09-13,1959-04-01,52.2
2025-09-13,2025-09-13,1959-05-01,52.4
2025-09-13,2025-09-13,1959-06-01,52.9
2025-09-13,2025-09-13,1959-07-01,53.1
2025-09-13,2025-09-13,1959-08-01,53.4
2025-09-13,2025-09-13,1959-09-01,53.7
2025-09-13,2025-09-13,1959-10-01,53.9
2025-09-13,2025-09-13,1959-11-01,54.0
2025-09-13,2025-09-13,1959-12-01,54.3
2025-09-13,2025-09-13,1960-01-01,54.3
2025-09-13,2025-09-13,1960-02-01,54.2
2025-09-13,2025-09-13,1960-03-01,54.4
2025-09-13,2025-09-13,1960-04-01,54.5
2025-09-13,2025-09-13,1960-05-01,54.6
2025-09-13,2025-09-13,1960-06-01,54.9
2025-09-13,2025-09-13,1960-07-01,55.2
2025-09-13,2025-09-13,1960-08-01,55.8
2025-09-13,2025-09-13,1960-09-01,56.4
2025-09-13,2025-09-13,1960-10-01,57.0
2025-09-13,2025-09-13,1960-11-01,57.3
2025-09-13,2025-09-13,1960-12-01,57.8
2025-09-13,2025-09-13,1961-01-01,58.5
2025-09-13,2025-09-13,1961-02-01,59.3
2025-09-13,2025-09-13,1961-03-01,59.9
2025-09-13,2025-09-13,1961-04-01,60.3
2025-09-13,2025-09-13,1961-05-01,60.5
2025-09-13,2025-09-13,1961-06-01,61.0
2025-09-13,2025-09-13,1961-07-01,61.4
2025-09-13,2025-09-13,1961-08-01,61.8
2025-09-13,2025-09-13,1961-09-01,62.1
2025-09-13,2025-09-13,1961-10-01,62.7
2025-09-13,2025-09-13,1961-11-01,63.2
2025-09-13,2025-09-13,1961-12-01,63.7
2025-09-13,2025-09-13,1962-01-01,64.3
2025-09-13,2025-09-13,1962-02-01,64.9
2025-09-13,2025-09-13,1962-03-01,65.6
2025-09-13,2025-09-13,1962-04-01,66.1
2025-09-13,2025-09-13,1962-05-01,66.5
2025-09-13,2025-09-13,1962-06-01,67.1
2025-09-13,2025-09-13,1962-07-01,67.9
2025-09-13,2025-09-13,1962-08-01,68.5
2025-09-13,2025-09-13,1962-09-01,69.1
2025-09-13,2025-09-13,1962-10-01,69.8
2025-09-13,2025-09-13,1962-11-01,70.3
2025-09-13,2025-09-13,1962-12-01,70.8
2025-09-13,2025-09-13,1963-01-01,71.5
2025-09-13,2025-09-13,1963-02-01,72.1
2025-09-13,2025-09-13,1963-03-01,72.7
2025-09-13,2025-09-13,1963-04-01,73.1
2025-09-13,2025-09-13,1963-05-01,73.5
2025-09-13,2025-09-13,1963-06-01,74.1
2025-09-13,2025-09-13,1963-07-01,74.7
2025-09-13,2025-09-13,1963-08-01,75.1
2025-09-13,2025-09-13,1963-09-01,75.5
2025-09-13,2025-09-13,1963-10-01,75.6
2025-09-13,2025-09-13,1963-11-01,76.0
2025-09-13,2025-09-13,1963-12-01,76.3
2025-09-13,2025-09-13,1964-01-01,76.9
2025-09-13,2025-09-13,1964-02-01,77.3
2025-09-13,2025-09-13,1964-03-01,77.8
2025-09-13,2025-09-13,1964-04-01,78.1
2025-09-13,2025-09-13,1964-05-01,78.5
2025-09-13,2025-09-13,1964-06-01,79.0
2025-09-13,2025-09-13,1964-07-01,79.6
2025-09-13,2025-09-13,1964-08-01,80.1
2025-09-13,2025-09-13,1964-09-01,80.7
2025-09-13,2025-09-13,1964-10-01,81.4
2025-09-13,2025-09-13,1964-11-01,81.9
2025-09-13,2025-09-13,1964-12-01,82.5
2025-09-13,2025-09-13,1965-01-01,83.5
2025-09-13,2025-09-13,1965-02-01,84.2
2025-09-13,2025-09-13,1965-03-01,85.1
2025-09-13,2025-09-13,1965-04-01,85.6
2025-09-13,2025-09-13,1965-05-01,86.1
2025-09-13,2025-09-13,1965-06-01,86.8
2025-09-13,2025-09-13,1965-07-01,87.7
2025-09-13,2025-09-13,1965-08-01,88.6
2025-09-13,2025-09-13,1965-09-01,89.5
2025-09-13,2025-09-13,1965-10-01,90.6
2025-09-13,2025-09-13,1965-11-01,91.4
2025-09-13,2025-09-13,1965-12-01,92.1
2025-09-13,2025-09-13,1966-01-01,92.3
2025-09-13,2025-09-13,1966-02-01,92.1
2025-09-13,2025-09-13,1966-03-01,92.1
2025-09-13,2025-09-13,1966-04-01,90.6
2025-09-13,2025-09-13,1966-05-01,90.0
2025-09-13,2025-09-13,1966-06-01,89.8
2025-09-13,2025-09-13,1966-07-01,90.5
2025-09-13,2025-09-13,1966-08-01,89.9
2025-09-13,2025-09-13,1966-09-01,89.8
