realtime_start,realtime_end,date,value
2025-09-10,2025-09-10,2006-08-01,7.82
2025-09-10,2025-09-10,2006-09-01,.
2025-09-10,2025-09-10,2006-10-01,.
2025-09-10,2025-09-10,2006-11-01,7.78
2025-09-10,2025-09-10,2006-12-01,.
2025-09-10,2025-09-10,2007-01-01,.
2025-09-10,2025-09-10,2007-02-01,7.71
2025-09-10,2025-09-10,2007-03-01,.
2025-09-10,2025-09-10,2007-04-01,.
2025-09-10,2025-09-10,2007-05-01,7.78
2025-09-10,2025-09-10,2007-06-01,.
2025-09-10,2025-09-10,2007-07-01,.
2025-09-10,2025-09-10,2007-08-01,7.77
2025-09-10,2025-09-10,2007-09-01,.
2025-09-10,2025-09-10,2007-10-01,.
2025-09-10,2025-09-10,2007-11-01,7.60
2025-09-10,2025-09-10,2007-12-01,.
2025-09-10,2025-09-10,2008-01-01,.
2025-09-10,2025-09-10,2008-02-01,7.18
2025-09-10,2025-09-10,2008-03-01,.
2025-09-10,2025-09-10,2008-04-01,.
2025-09-10,2025-09-10,2008-05-01,6.93
2025-09-10,2025-09-10,2008-06-01,.
2025-09-10,2025-09-10,2008-07-01,.
2025-09-10,2025-09-10,2008-08-01,6.94
2025-09-10,2025-09-10,2008-09-01,.
2025-09-10,2025-09-10,2008-10-01,.
2025-09-10,2025-09-10,2008-11-01,7.12
2025-09-10,2025-09-10,2008-12-01,.
2025-09-10,2025-09-10,2009-01-01,.
2025-09-10,2025-09-10,2009-02-01,6.96
2025-09-10,2025-09-10,2009-03-01,.
2025-09-10,2025-09-10,2009-04-01,.
2025-09-10,2025-09-10,2009-05-01,6.93
2025-09-10,2025-09-10,2009-06-01,.
2025-09-10,2025-09-10,2009-07-01,.
2025-09-10,2025-09-10,2009-08-01,6.71
2025-09-10,2025-09-10,2009-09-01,.
2025-09-10,2025-09-10,2009-10-01,.
2025-09-10,2025-09-10,2009-11-01,6.59
2025-09-10,2025-09-10,2009-12-01,.
2025-09-10,2025-09-10,2010-01-01,.
2025-09-10,2025-09-10,2010-02-01,6.45
2025-09-10,2025-09-10,2010-03-01,.
2025-09-10,2025-09-10,2010-04-01,.
2025-09-10,2025-09-10,2010-05-01,6.38
2025-09-10,2025-09-10,2010-06-01,.
2025-09-10,2025-09-10,2010-07-01,.
2025-09-10,2025-09-10,2010-08-01,6.23
2025-09-10,2025-09-10,2010-09-01,.
2025-09-10,2025-09-10,2010-10-01,.
2025-09-10,2025-09-10,2010-11-01,6.05
2025-09-10,2025-09-10,2010-12-01,.
2025-09-10,2025-09-10,2011-01-01,.
2025-09-10,2025-09-10,2011-02-01,6.10
2025-09-10,2025-09-10,2011-03-01,.
2025-09-10,2025-09-10,2011-04-01,.
2025-09-10,2025-09-10,2011-05-01,5.83
2025-09-10,2025-09-10,2011-06-01,.
2025-09-10,2025-09-10,2011-07-01,.
2025-09-10,2025-09-10,2011-08-01,5.62
2025-09-10,2025-09-10,2011-09-01,.
2025-09-10,2025-09-10,2011-10-01,.
2025-09-10,2025-09-10,2011-11-01,5.25
2025-09-10,2025-09-10,2011-12-01,.
2025-09-10,2025-09-10,2012-01-01,.
2025-09-10,2025-09-10,2012-02-01,5.02
2025-09-10,2025-09-10,2012-03-01,.
2025-09-10,2025-09-10,2012-04-01,.
2025-09-10,2025-09-10,2012-05-01,4.87
2025-09-10,2025-09-10,2012-06-01,.
2025-09-10,2025-09-10,2012-07-01,.
2025-09-10,2025-09-10,2012-08-01,4.75
2025-09-10,2025-09-10,2012-09-01,.
2025-09-10,2025-09-10,2012-10-01,.
2025-09-10,2025-09-10,2012-11-01,4.64
2025-09-10,2025-09-10,2012-12-01,.
2025-09-10,2025-09-10,2013-01-01,.
2025-09-10,2025-09-10,2013-02-01,4.60
2025-09-10,2025-09-10,2013-03-01,.
2025-09-10,2025-09-10,2013-04-01,.
2025-09-10,2025-09-10,2013-05-01,4.34
2025-09-10,2025-09-10,2013-06-01,.
2025-09-10,2025-09-10,2013-07-01,.
2025-09-10,2025-09-10,2013-08-01,4.38
2025-09-10,2025-09-10,2013-09-01,.
2025-09-10,2025-09-10,2013-10-01,.
2025-09-10,2025-09-10,2013-11-01,4.52
2025-09-10,2025-09-10,2013-12-01,.
2025-09-10,2025-09-10,2014-01-01,.
2025-09-10,2025-09-10,2014-02-01,4.37
2025-09-10,2025-09-10,2014-03-01,.
2025-09-10,2025-09-10,2014-04-01,.
2025-09-10,2025-09-10,2014-05-01,4.46
2025-09-10,2025-09-10,2014-06-01,.
2025-09-10,2025-09-10,2014-07-01,.
2025-09-10,2025-09-10,2014-08-01,4.11
2025-09-10,2025-09-10,2014-09-01,.
2025-09-10,2025-09-10,2014-10-01,.
2025-09-10,2025-09-10,2014-11-01,4.07
2025-09-10,2025-09-10,2014-12-01,.
2025-09-10,2025-09-10,2015-01-01,.
2025-09-10,2025-09-10,2015-02-01,4.27
2025-09-10,2025-09-10,2015-03-01,.
2025-09-10,2025-09-10,2015-04-01,.
2025-09-10,2025-09-10,2015-05-01,4.21
2025-09-10,2025-09-10,2015-06-01,.
2025-09-10,2025-09-10,2015-07-01,.
2025-09-10,2025-09-10,2015-08-01,4.25
2025-09-10,2025-09-10,2015-09-01,.
2025-09-10,2025-09-10,2015-10-01,.
2025-09-10,2025-09-10,2015-11-01,4.05
2025-09-10,2025-09-10,2015-12-01,.
2025-09-10,2025-09-10,2016-01-01,.
2025-09-10,2025-09-10,2016-02-01,4.11
2025-09-10,2025-09-10,2016-03-01,.
2025-09-10,2025-09-10,2016-04-01,.
2025-09-10,2025-09-10,2016-05-01,4.15
2025-09-10,2025-09-10,2016-06-01,.
2025-09-10,2025-09-10,2016-07-01,.
2025-09-10,2025-09-10,2016-08-01,4.25
2025-09-10,2025-09-10,2016-09-01,.
2025-09-10,2025-09-10,2016-10-01,.
2025-09-10,2025-09-10,2016-11-01,4.05
2025-09-10,2025-09-10,2016-12-01,.
2025-09-10,2025-09-10,2017-01-01,.
2025-09-10,2025-09-10,2017-02-01,4.21
2025-09-10,2025-09-10,2017-03-01,.
2025-09-10,2025-09-10,2017-04-01,.
2025-09-10,2025-09-10,2017-05-01,4.24
2025-09-10,2025-09-10,2017-06-01,.
2025-09-10,2025-09-10,2017-07-01,.
2025-09-10,2025-09-10,2017-08-01,4.36
2025-09-10,2025-09-10,2017-09-01,.
2025-09-10,2025-09-10,2017-10-01,.
2025-09-10,2025-09-10,2017-11-01,4.51
2025-09-10,2025-09-10,2017-12-01,.
2025-09-10,2025-09-10,2018-01-01,.
2025-09-10,2025-09-10,2018-02-01,4.75
2025-09-10,2025-09-10,2018-03-01,.
2025-09-10,2025-09-10,2018-04-01,.
2025-09-10,2025-09-10,2018-05-01,4.99
2025-09-10,2025-09-10,2018-06-01,.
2025-09-10,2025-09-10,2018-07-01,.
2025-09-10,2025-09-10,2018-08-01,4.96
2025-09-10,2025-09-10,2018-09-01,.
2025-09-10,2025-09-10,2018-10-01,.
2025-09-10,2025-09-10,2018-11-01,5.36
2025-09-10,2025-09-10,2018-12-01,.
2025-09-10,2025-09-10,2019-01-01,.
2025-09-10,2025-09-10,2019-02-01,5.24
2025-09-10,2025-09-10,2019-03-01,.
2025-09-10,2025-09-10,2019-04-01,.
2025-09-10,2025-09-10,2019-05-01,5.36
2025-09-10,2025-09-10,2019-06-01,.
2025-09-10,2025-09-10,2019-07-01,.
2025-09-10,2025-09-10,2019-08-01,5.27
2025-09-10,2025-09-10,2019-09-01,.
2025-09-10,2025-09-10,2019-10-01,.
2025-09-10,2025-09-10,2019-11-01,5.37
2025-09-10,2025-09-10,2019-12-01,.
2025-09-10,2025-09-10,2020-01-01,.
2025-09-10,2025-09-10,2020-02-01,5.15
2025-09-10,2025-09-10,2020-03-01,.
2025-09-10,2025-09-10,2020-04-01,.
2025-09-10,2025-09-10,2020-05-01,5.14
2025-09-10,2025-09-10,2020-06-01,.
2025-09-10,2025-09-10,2020-07-01,.
2025-09-10,2025-09-10,2020-08-01,4.98
2025-09-10,2025-09-10,2020-09-01,.
2025-09-10,2025-09-10,2020-10-01,.
2025-09-10,2025-09-10,2020-11-01,4.8
2025-09-10,2025-09-10,2020-12-01,.
2025-09-10,2025-09-10,2021-01-01,.
2025-09-10,2025-09-10,2021-02-01,4.96
2025-09-10,2025-09-10,2021-03-01,.
2025-09-10,2025-09-10,2021-04-01,.
2025-09-10,2025-09-10,2021-05-01,5.05
2025-09-10,2025-09-10,2021-06-01,.
2025-09-10,2025-09-10,2021-07-01,.
2025-09-10,2025-09-10,2021-08-01,4.6
2025-09-10,2025-09-10,2021-09-01,.
2025-09-10,2025-09-10,2021-10-01,.
2025-09-10,2025-09-10,2021-11-01,4.67
2025-09-10,2025-09-10,2021-12-01,.
2025-09-10,2025-09-10,2022-01-01,.
2025-09-10,2025-09-10,2022-02-01,4.52
2025-09-10,2025-09-10,2022-03-01,.
2025-09-10,2025-09-10,2022-04-01,.
