realtime_start,realtime_end,date,value
2025-09-03,2025-09-03,1947-01-01,26.7
2025-09-03,2025-09-03,1947-02-01,26.7
2025-09-03,2025-09-03,1947-03-01,26.7
2025-09-03,2025-09-03,1947-04-01,26.6
2025-09-03,2025-09-03,1947-05-01,26.6
2025-09-03,2025-09-03,1947-06-01,26.6
2025-09-03,2025-09-03,1947-07-01,26.5
2025-09-03,2025-09-03,1947-08-01,26.5
2025-09-03,2025-09-03,1947-09-01,26.7
2025-09-03,2025-09-03,1947-10-01,26.5
2025-09-03,2025-09-03,1947-11-01,26.5
2025-09-03,2025-09-03,1947-12-01,26.4
2025-09-03,2025-09-03,1948-01-01,26.4
2025-09-03,2025-09-03,1948-02-01,26.3
2025-09-03,2025-09-03,1948-03-01,26.2
2025-09-03,2025-09-03,1948-04-01,26.1
2025-09-03,2025-09-03,1948-05-01,26.0
2025-09-03,2025-09-03,1948-06-01,26.0
2025-09-03,2025-09-03,1948-07-01,26.0
2025-09-03,2025-09-03,1948-08-01,26.0
2025-09-03,2025-09-03,1948-09-01,26.0
2025-09-03,2025-09-03,1948-10-01,26.0
2025-09-03,2025-09-03,1948-11-01,26.0
2025-09-03,2025-09-03,1948-12-01,25.8
2025-09-03,2025-09-03,1949-01-01,25.7
2025-09-03,2025-09-03,1949-02-01,25.7
2025-09-03,2025-09-03,1949-03-01,25.7
2025-09-03,2025-09-03,1949-04-01,25.7
2025-09-03,2025-09-03,1949-05-01,25.7
2025-09-03,2025-09-03,1949-06-01,25.6
2025-09-03,2025-09-03,1949-07-01,25.5
2025-09-03,2025-09-03,1949-08-01,25.5
2025-09-03,2025-09-03,1949-09-01,25.3
2025-09-03,2025-09-03,1949-10-01,25.3
2025-09-03,2025-09-03,1949-11-01,25.2
2025-09-03,2025-09-03,1949-12-01,25.1
2025-09-03,2025-09-03,1950-01-01,25.1
2025-09-03,2025-09-03,1950-02-01,25.1
2025-09-03,2025-09-03,1950-03-01,25.2
2025-09-03,2025-09-03,1950-04-01,25.3
2025-09-03,2025-09-03,1950-05-01,25.2
2025-09-03,2025-09-03,1950-06-01,25.1
2025-09-03,2025-09-03,1950-07-01,25.0
2025-09-03,2025-09-03,1950-08-01,24.9
2025-09-03,2025-09-03,1950-09-01,24.9
2025-09-03,2025-09-03,1950-10-01,24.9
2025-09-03,2025-09-03,1950-11-01,24.9
2025-09-03,2025-09-03,1950-12-01,25.0
2025-09-03,2025-09-03,1951-01-01,25.0
2025-09-03,2025-09-03,1951-02-01,25.1
2025-09-03,2025-09-03,1951-03-01,25.2
2025-09-03,2025-09-03,1951-04-01,25.2
2025-09-03,2025-09-03,1951-05-01,25.3
2025-09-03,2025-09-03,1951-06-01,25.4
2025-09-03,2025-09-03,1951-07-01,25.6
2025-09-03,2025-09-03,1951-08-01,25.7
2025-09-03,2025-09-03,1951-09-01,25.8
2025-09-03,2025-09-03,1951-10-01,26.0
2025-09-03,2025-09-03,1951-11-01,26.0
2025-09-03,2025-09-03,1951-12-01,26.1
2025-09-03,2025-09-03,1952-01-01,26.2
2025-09-03,2025-09-03,1952-02-01,26.3
2025-09-03,2025-09-03,1952-03-01,26.4
2025-09-03,2025-09-03,1952-04-01,26.4
2025-09-03,2025-09-03,1952-05-01,26.5
2025-09-03,2025-09-03,1952-06-01,26.7
2025-09-03,2025-09-03,1952-07-01,26.7
2025-09-03,2025-09-03,1952-08-01,26.8
2025-09-03,2025-09-03,1952-09-01,26.9
2025-09-03,2025-09-03,1952-10-01,27.0
2025-09-03,2025-09-03,1952-11-01,27.2
2025-09-03,2025-09-03,1952-12-01,27.3
2025-09-03,2025-09-03,1953-01-01,27.4
2025-09-03,2025-09-03,1953-02-01,27.5
2025-09-03,2025-09-03,1953-03-01,27.6
2025-09-03,2025-09-03,1953-04-01,27.7
2025-09-03,2025-09-03,1953-05-01,27.7
2025-09-03,2025-09-03,1953-06-01,27.7
2025-09-03,2025-09-03,1953-07-01,27.8
2025-09-03,2025-09-03,1953-08-01,27.8
2025-09-03,2025-09-03,1953-09-01,27.8
2025-09-03,2025-09-03,1953-10-01,27.8
2025-09-03,2025-09-03,1953-11-01,27.8
2025-09-03,2025-09-03,1953-12-01,27.7
2025-09-03,2025-09-03,1954-01-01,27.7
2025-09-03,2025-09-03,1954-02-01,27.7
2025-09-03,2025-09-03,1954-03-01,27.6
2025-09-03,2025-09-03,1954-04-01,27.6
2025-09-03,2025-09-03,1954-05-01,27.6
2025-09-03,2025-09-03,1954-06-01,27.5
2025-09-03,2025-09-03,1954-07-01,27.5
2025-09-03,2025-09-03,1954-08-01,27.5
2025-09-03,2025-09-03,1954-09-01,27.4
2025-09-03,2025-09-03,1954-10-01,27.4
2025-09-03,2025-09-03,1954-11-01,27.4
2025-09-03,2025-09-03,1954-12-01,27.4
2025-09-03,2025-09-03,1955-01-01,27.4
2025-09-03,2025-09-03,1955-02-01,27.5
2025-09-03,2025-09-03,1955-03-01,27.5
2025-09-03,2025-09-03,1955-04-01,27.5
2025-09-03,2025-09-03,1955-05-01,27.6
2025-09-03,2025-09-03,1955-06-01,27.6
2025-09-03,2025-09-03,1955-07-01,27.7
2025-09-03,2025-09-03,1955-08-01,27.7
2025-09-03,2025-09-03,1955-09-01,27.7
2025-09-03,2025-09-03,1955-10-01,27.8
2025-09-03,2025-09-03,1955-11-01,27.8
2025-09-03,2025-09-03,1955-12-01,27.8
2025-09-03,2025-09-03,1956-01-01,27.9
2025-09-03,2025-09-03,1956-02-01,27.9
2025-09-03,2025-09-03,1956-03-01,27.9
2025-09-03,2025-09-03,1956-04-01,27.9
2025-09-03,2025-09-03,1956-05-01,27.9
2025-09-03,2025-09-03,1956-06-01,27.9
2025-09-03,2025-09-03,1956-07-01,28.0
2025-09-03,2025-09-03,1956-08-01,28.0
2025-09-03,2025-09-03,1956-09-01,28.0
2025-09-03,2025-09-03,1956-10-01,28.0
2025-09-03,2025-09-03,1956-11-01,28.1
2025-09-03,2025-09-03,1956-12-01,28.2
2025-09-03,2025-09-03,1957-01-01,28.2
2025-09-03,2025-09-03,1957-02-01,28.2
2025-09-03,2025-09-03,1957-03-01,28.2
2025-09-03,2025-09-03,1957-04-01,28.2
2025-09-03,2025-09-03,1957-05-01,28.2
2025-09-03,2025-09-03,1957-06-01,28.3
2025-09-03,2025-09-03,1957-07-01,28.3
2025-09-03,2025-09-03,1957-08-01,28.3
2025-09-03,2025-09-03,1957-09-01,28.3
2025-09-03,2025-09-03,1957-10-01,28.3
2025-09-03,2025-09-03,1957-11-01,28.3
2025-09-03,2025-09-03,1957-12-01,28.3
2025-09-03,2025-09-03,1958-01-01,28.3
2025-09-03,2025-09-03,1958-02-01,28.2
2025-09-03,2025-09-03,1958-03-01,28.2
2025-09-03,2025-09-03,1958-04-01,28.2
2025-09-03,2025-09-03,1958-05-01,28.3
2025-09-03,2025-09-03,1958-06-01,28.3
2025-09-03,2025-09-03,1958-07-01,28.4
2025-09-03,2025-09-03,1958-08-01,28.4
2025-09-03,2025-09-03,1958-09-01,28.5
2025-09-03,2025-09-03,1958-10-01,28.5
2025-09-03,2025-09-03,1958-11-01,28.5
2025-09-03,2025-09-03,1958-12-01,28.6
2025-09-03,2025-09-03,1959-01-01,28.5
2025-09-03,2025-09-03,1959-02-01,28.6
2025-09-03,2025-09-03,1959-03-01,28.6
2025-09-03,2025-09-03,1959-04-01,28.6
2025-09-03,2025-09-03,1959-05-01,28.7
2025-09-03,2025-09-03,1959-06-01,28.9
2025-09-03,2025-09-03,1959-07-01,28.8
2025-09-03,2025-09-03,1959-08-01,28.9
