date,value
2008-01-01,168350.2
2008-02-01,165069.7
2008-03-01,171194.0
2008-04-01,182115.1
2008-05-01,182956.3
2008-06-01,190117.1
2008-07-01,202614.4
2008-08-01,189874.9
2008-09-01,180189.0
2008-10-01,185882.2
2008-11-01,147515.0
2008-12-01,137762.9
2009-01-01,122414.6
2009-02-01,109012.2
2009-03-01,121358.7
2009-04-01,118895.8
2009-05-01,116341.5
2009-06-01,127173.2
2009-07-01,135695.8
2009-08-01,131271.6
2009-09-01,141004.5
2009-10-01,147026.9
2009-11-01,143324.3
2009-12-01,146105.8
2010-01-01,136076.0
2010-02-01,134305.3
2010-03-01,157527.9
2010-04-01,152809.9
2010-05-01,155862.1
2010-06-01,168903.3
2010-07-01,164162.1
2010-08-01,170705.6
2010-09-01,166372.3
2010-10-01,170119.5
2010-11-01,168849.5
2010-12-01,166398.1
2011-01-01,166273.7
2011-02-01,156813.5
2011-03-01,185934.0
2011-04-01,178075.0
2011-05-01,188174.6
2011-06-01,192399.8
2011-07-01,186762.5
2011-08-01,196711.3
2011-09-01,189167.3
2011-10-01,191561.5
2011-11-01,190984.6
2011-12-01,184071.2
2012-01-01,183510.1
2012-02-01,172026.7
2012-03-01,197284.9
2012-04-01,189280.0
2012-05-01,198616.1
2012-06-01,191828.0
2012-07-01,191889.7
2012-08-01,194942.7
2012-09-01,186253.3
2012-10-01,198451.0
2012-11-01,194257.0
2012-12-01,177053.0
2013-01-01,185168.566967
2013-02-01,170322.898015
2013-03-01,181850.699994
2013-04-01,190555.285853
2013-05-01,196685.387287
2013-06-01,184930.459517
2013-07-01,197311.660506
2013-08-01,193050.664288
2013-09-01,191940.918026
2013-10-01,205089.657917
2013-11-01,188617.830337
2013-12-01,182462.704915
2014-01-01,186070.068022
2014-02-01,170711.231072
2014-03-01,194612.916502
2014-04-01,201243.758555
2014-05-01,200859.880099
2014-06-01,198352.977195
2014-07-01,205134.173874
2014-08-01,197312.135523
2014-09-01,203729.650379
2014-10-01,211643.112866
2014-11-01,190689.694315
2014-12-01,195996.473951
2015-01-01,181220.267463
2015-02-01,162949.744496
2015-03-01,198235.291762
2015-04-01,190066.360528
2015-05-01,186571.08175
2015-06-01,197380.386923
2015-07-01,193673.88519
2015-08-01,189979.308675
2015-09-01,191544.620917
2015-10-01,195248.92275
2015-11-01,182176.161512
2015-12-01,179765.319515
2016-01-01,165816.229608
2016-02-01,168042.084236
2016-03-01,178405.409134
2016-04-01,173964.041794
2016-05-01,183394.314864
2016-06-01,188539.295888
2016-07-01,181779.362572
2016-08-01,193986.711894
2016-09-01,185985.60237
2016-10-01,191999.703998
2016-11-01,191156.671325
2016-12-01,183716.473026
2017-01-01,185653.694459
2017-02-01,169238.136418
2017-03-01,194066.135793
2017-04-01,185868.22251
2017-05-01,200330.889176
2017-06-01,198174.397651
2017-07-01,191754.463142
2017-08-01,201557.23513
2017-09-01,194517.256442
2017-10-01,210605.856448
2017-11-01,207578.653133
2017-12-01,200246.389716
2018-01-01,203028.883846
2018-02-01,186770.202889
2018-03-01,207985.485687
2018-04-01,205084.378104
2018-05-01,216026.513962
2018-06-01,211252.662445
2018-07-01,216854.224361
2018-08-01,221896.965105
2018-09-01,211317.474139
2018-10-01,235857.712175
2018-11-01,213493.034014
2018-12-01,206577.736951
2019-01-01,203980.735535
2019-02-01,185267.53233
2019-03-01,207511.04615
2019-04-01,208742.142619
2019-05-01,220207.611029
2019-06-01,206531.579286
2019-07-01,218311.146547
2019-08-01,215245.816181
2019-09-01,206148.934308
2019-10-01,218901.114532
2019-11-01,198974.554693
2019-12-01,201877.354516
2020-01-01,195796.204072
2020-02-01,178107.959988
2020-03-01,193922.847899
2020-04-01,165611.885689
2020-05-01,163494.079397
2020-06-01,179138.115171
2020-07-01,199927.697812
2020-08-01,203112.048656
2020-09-01,206083.668469
2020-10-01,218952.608531
2020-11-01,212453.314812
2020-12-01,214876.750326
2021-01-01,204628.270226
2021-02-01,193435.057621
2021-03-01,236917.164332
2021-04-01,226461.821602
2021-05-01,230413.99715
2021-06-01,242322.118724
2021-07-01,237302.400922
2021-08-01,245231.530985
2021-09-01,244355.844701
2021-10-01,251211.888879
2021-11-01,259390.162126
2021-12-01,256845.242631
2022-01-01,247008.641238
2022-02-01,233955.405508
2022-03-01,295671.872045
2022-04-01,272415.11432
2022-05-01,285287.161183
2022-06-01,285977.96637
2022-07-01,270390.961822
2022-08-01,283272.95213
2022-09-01,275053.126912
2022-10-01,281439.422433
2022-11-01,255571.953755
2022-12-01,253688.357045
2023-01-01,254625.82862
2023-02-01,230169.811758
2023-03-01,261243.920316
2023-04-01,249869.197935
2023-05-01,263244.778083
2023-06-01,257210.715579
2023-07-01,255332.994142
2023-08-01,265555.488576
2023-09-01,260862.544466
2023-10-01,276178.527276
2023-11-01,255461.303753
2023-12-01,247041.265823
2024-01-01,253692.671061
2024-02-01,242229.497763
2024-03-01,259086.624839
2024-04-01,270974.184351
2024-05-01,274906.201328
2024-06-01,266056.635255
2024-07-01,288127.318076
2024-08-01,277306.286291
2024-09-01,285963.195133
2024-10-01,288844.039794
2024-11-01,274312.320671
2024-12-01,284911.220759
2025-01-01,317306.228983
2025-02-01,288187.133875
2025-03-01,342602.915599
2025-04-01,276085.78611
2025-05-01,276516.689651
2025-06-01,265533.076338
2025-07-01,292244.900031
