realtime_start,realtime_end,date,value
2025-09-10,2025-09-10,1959-01-01,136.0
2025-09-10,2025-09-10,1959-02-01,136.6
2025-09-10,2025-09-10,1959-03-01,137.6
2025-09-10,2025-09-10,1959-04-01,138.4
2025-09-10,2025-09-10,1959-05-01,139.5
2025-09-10,2025-09-10,1959-06-01,140.7
2025-09-10,2025-09-10,1959-07-01,141.4
2025-09-10,2025-09-10,1959-08-01,142.3
2025-09-10,2025-09-10,1959-09-01,143.3
2025-09-10,2025-09-10,1959-10-01,143.7
2025-09-10,2025-09-10,1959-11-01,145.0
2025-09-10,2025-09-10,1959-12-01,146.4
2025-09-10,2025-09-10,1960-01-01,146.7
2025-09-10,2025-09-10,1960-02-01,147.1
2025-09-10,2025-09-10,1960-03-01,148.0
2025-09-10,2025-09-10,1960-04-01,148.7
2025-09-10,2025-09-10,1960-05-01,149.5
2025-09-10,2025-09-10,1960-06-01,150.7
2025-09-10,2025-09-10,1960-07-01,151.5
2025-09-10,2025-09-10,1960-08-01,152.8
2025-09-10,2025-09-10,1960-09-01,154.3
2025-09-10,2025-09-10,1960-10-01,155.5
2025-09-10,2025-09-10,1960-11-01,157.4
2025-09-10,2025-09-10,1960-12-01,159.1
2025-09-10,2025-09-10,1961-01-01,160.3
2025-09-10,2025-09-10,1961-02-01,161.9
2025-09-10,2025-09-10,1961-03-01,163.3
2025-09-10,2025-09-10,1961-04-01,164.3
2025-09-10,2025-09-10,1961-05-01,165.5
2025-09-10,2025-09-10,1961-06-01,167.0
2025-09-10,2025-09-10,1961-07-01,167.9
2025-09-10,2025-09-10,1961-08-01,169.1
2025-09-10,2025-09-10,1961-09-01,170.4
2025-09-10,2025-09-10,1961-10-01,171.5
2025-09-10,2025-09-10,1961-11-01,173.7
2025-09-10,2025-09-10,1961-12-01,175.5
2025-09-10,2025-09-10,1962-01-01,176.6
2025-09-10,2025-09-10,1962-02-01,178.0
2025-09-10,2025-09-10,1962-03-01,179.7
2025-09-10,2025-09-10,1962-04-01,181.0
2025-09-10,2025-09-10,1962-05-01,182.4
2025-09-10,2025-09-10,1962-06-01,184.1
2025-09-10,2025-09-10,1962-07-01,185.5
2025-09-10,2025-09-10,1962-08-01,187.0
2025-09-10,2025-09-10,1962-09-01,188.8
2025-09-10,2025-09-10,1962-10-01,190.3
2025-09-10,2025-09-10,1962-11-01,192.7
2025-09-10,2025-09-10,1962-12-01,194.8
2025-09-10,2025-09-10,1963-01-01,196.3
2025-09-10,2025-09-10,1963-02-01,198.1
2025-09-10,2025-09-10,1963-03-01,200.1
2025-09-10,2025-09-10,1963-04-01,201.6
2025-09-10,2025-09-10,1963-05-01,203.3
2025-09-10,2025-09-10,1963-06-01,205.2
2025-09-10,2025-09-10,1963-07-01,206.5
2025-09-10,2025-09-10,1963-08-01,207.9
2025-09-10,2025-09-10,1963-09-01,209.5
2025-09-10,2025-09-10,1963-10-01,210.3
2025-09-10,2025-09-10,1963-11-01,212.6
2025-09-10,2025-09-10,1963-12-01,214.4
2025-09-10,2025-09-10,1964-01-01,215.6
2025-09-10,2025-09-10,1964-02-01,217.2
2025-09-10,2025-09-10,1964-03-01,218.9
2025-09-10,2025-09-10,1964-04-01,220.3
2025-09-10,2025-09-10,1964-05-01,222.1
2025-09-10,2025-09-10,1964-06-01,224.1
2025-09-10,2025-09-10,1964-07-01,225.5
2025-09-10,2025-09-10,1964-08-01,227.4
2025-09-10,2025-09-10,1964-09-01,229.4
2025-09-10,2025-09-10,1964-10-01,230.8
2025-09-10,2025-09-10,1964-11-01,233.2
2025-09-10,2025-09-10,1964-12-01,235.2
2025-09-10,2025-09-10,1965-01-01,236.9
2025-09-10,2025-09-10,1965-02-01,238.8
2025-09-10,2025-09-10,1965-03-01,240.7
2025-09-10,2025-09-10,1965-04-01,242.1
2025-09-10,2025-09-10,1965-05-01,243.7
2025-09-10,2025-09-10,1965-06-01,245.7
2025-09-10,2025-09-10,1965-07-01,247.0
2025-09-10,2025-09-10,1965-08-01,248.8
2025-09-10,2025-09-10,1965-09-01,250.8
2025-09-10,2025-09-10,1965-10-01,252.3
2025-09-10,2025-09-10,1965-11-01,254.8
2025-09-10,2025-09-10,1965-12-01,256.9
2025-09-10,2025-09-10,1966-01-01,257.6
2025-09-10,2025-09-10,1966-02-01,258.3
2025-09-10,2025-09-10,1966-03-01,258.1
2025-09-10,2025-09-10,1966-04-01,256.0
2025-09-10,2025-09-10,1966-05-01,255.1
2025-09-10,2025-09-10,1966-06-01,254.7
2025-09-10,2025-09-10,1966-07-01,254.3
2025-09-10,2025-09-10,1966-08-01,253.2
2025-09-10,2025-09-10,1966-09-01,253.1
2025-09-10,2025-09-10,1966-10-01,252.2
2025-09-10,2025-09-10,1966-11-01,252.6
2025-09-10,2025-09-10,1966-12-01,253.1
2025-09-10,2025-09-10,1967-01-01,252.7
2025-09-10,2025-09-10,1967-02-01,252.9
2025-09-10,2025-09-10,1967-03-01,253.9
2025-09-10,2025-09-10,1967-04-01,255.1
2025-09-10,2025-09-10,1967-05-01,256.7
2025-09-10,2025-09-10,1967-06-01,258.3
2025-09-10,2025-09-10,1967-07-01,259.5
2025-09-10,2025-09-10,1967-08-01,260.8
2025-09-10,2025-09-10,1967-09-01,262.0
2025-09-10,2025-09-10,1967-10-01,262.6
2025-09-10,2025-09-10,1967-11-01,263.4
2025-09-10,2025-09-10,1967-12-01,263.7
2025-09-10,2025-09-10,1968-01-01,263.2
2025-09-10,2025-09-10,1968-02-01,263.5
2025-09-10,2025-09-10,1968-03-01,264.3
2025-09-10,2025-09-10,1968-04-01,264.3
2025-09-10,2025-09-10,1968-05-01,264.5
2025-09-10,2025-09-10,1968-06-01,264.9
2025-09-10,2025-09-10,1968-07-01,264.6
2025-09-10,2025-09-10,1968-08-01,265.3
2025-09-10,2025-09-10,1968-09-01,266.5
2025-09-10,2025-09-10,1968-10-01,266.7
2025-09-10,2025-09-10,1968-11-01,267.4
2025-09-10,2025-09-10,1968-12-01,268.9
2025-09-10,2025-09-10,1969-01-01,268.7
2025-09-10,2025-09-10,1969-02-01,268.2
2025-09-10,2025-09-10,1969-03-01,268.9
2025-09-10,2025-09-10,1969-04-01,267.9
2025-09-10,2025-09-10,1969-05-01,267.3
2025-09-10,2025-09-10,1969-06-01,267.9
2025-09-10,2025-09-10,1969-07-01,266.0
2025-09-10,2025-09-10,1969-08-01,264.4
2025-09-10,2025-09-10,1969-09-01,264.6
2025-09-10,2025-09-10,1969-10-01,263.5
2025-09-10,2025-09-10,1969-11-01,263.3
2025-09-10,2025-09-10,1969-12-01,263.7
2025-09-10,2025-09-10,1970-01-01,262.7
2025-09-10,2025-09-10,1970-02-01,257.9
2025-09-10,2025-09-10,1970-03-01,254.5
2025-09-10,2025-09-10,1970-04-01,251.4
2025-09-10,2025-09-10,1970-05-01,250.1
2025-09-10,2025-09-10,1970-06-01,250.4
2025-09-10,2025-09-10,1970-07-01,251.5
2025-09-10,2025-09-10,1970-08-01,252.9
2025-09-10,2025-09-10,1970-09-01,255.1
2025-09-10,2025-09-10,1970-10-01,257.0
2025-09-10,2025-09-10,1970-11-01,258.8
2025-09-10,2025-09-10,1970-12-01,261.0
2025-09-10,2025-09-10,1971-01-01,263.6
2025-09-10,2025-09-10,1971-02-01,266.1
2025-09-10,2025-09-10,1971-03-01,269.5
2025-09-10,2025-09-10,1971-04-01,272.6
2025-09-10,2025-09-10,1971-05-01,275.7
2025-09-10,2025-09-10,1971-06-01,278.2
2025-09-10,2025-09-10,1971-07-01,280.8
2025-09-10,2025-09-10,1971-08-01,283.4
2025-09-10,2025-09-10,1971-09-01,286.0
2025-09-10,2025-09-10,1971-10-01,288.2
2025-09-10,2025-09-10,1971-11-01,290.2
2025-09-10,2025-09-10,1971-12-01,292.2
2025-09-10,2025-09-10,1972-01-01,294.7
2025-09-10,2025-09-10,1972-02-01,297.1
2025-09-10,2025-09-10,1972-03-01,299.5
2025-09-10,2025-09-10,1972-04-01,301.1
2025-09-10,2025-09-10,1972-05-01,302.7
2025-09-10,2025-09-10,1972-06-01,304.9
2025-09-10,2025-09-10,1972-07-01,307.7
2025-09-10,2025-09-10,1972-08-01,311.2
2025-09-10,2025-09-10,1972-09-01,314.3
2025-09-10,2025-09-10,1972-10-01,316.6
2025-09-10,2025-09-10,1972-11-01,319.2
2025-09-10,2025-09-10,1972-12-01,321.4
2025-09-10,2025-09-10,1973-01-01,322.7
2025-09-10,2025-09-10,1973-02-01,323.1
2025-09-10,2025-09-10,1973-03-01,323.5
2025-09-10,2025-09-10,1973-04-01,323.8
2025-09-10,2025-09-10,1973-05-01,325.1
2025-09-10,2025-09-10,1973-06-01,326.6
2025-09-10,2025-09-10,1973-07-01,327.4
2025-09-10,2025-09-10,1973-08-01,325.9
2025-09-10,2025-09-10,1973-09-01,325.0
2025-09-10,2025-09-10,1973-10-01,325.5
2025-09-10,2025-09-10,1973-11-01,325.8
2025-09-10,2025-09-10,1973-12-01,326.8
2025-09-10,2025-09-10,1974-01-01,327.6
2025-09-10,2025-09-10,1974-02-01,327.8
2025-09-10,2025-09-10,1974-03-01,328.8
2025-09-10,2025-09-10,1974-04-01,329.5
2025-09-10,2025-09-10,1974-05-01,329.7
2025-09-10,2025-09-10,1974-06-01,330.4
2025-09-10,2025-09-10,1974-07-01,331.7
2025-09-10,2025-09-10,1974-08-01,332.0
2025-09-10,2025-09-10,1974-09-01,332.7
2025-09-10,2025-09-10,1974-10-01,334.2
2025-09-10,2025-09-10,1974-11-01,336.2
2025-09-10,2025-09-10,1974-12-01,338.6
2025-09-10,2025-09-10,1975-01-01,341.0
2025-09-10,2025-09-10,1975-02-01,343.9
2025-09-10,2025-09-10,1975-03-01,348.4
2025-09-10,2025-09-10,1975-04-01,353.5
2025-09-10,2025-09-10,1975-05-01,358.8
2025-09-10,2025-09-10,1975-06-01,365.6
2025-09-10,2025-09-10,1975-07-01,370.7
2025-09-10,2025-09-10,1975-08-01,374.2
2025-09-10,2025-09-10,1975-09-01,377.7
2025-09-10,2025-09-10,1975-10-01,380.6
2025-09-10,2025-09-10,1975-11-01,384.7
2025-09-10,2025-09-10,1975-12-01,388.9
2025-09-10,2025-09-10,1976-01-01,394.4
2025-09-10,2025-09-10,1976-02-01,402.7
2025-09-10,2025-09-10,1976-03-01,408.6
2025-09-10,2025-09-10,1976-04-01,413.8
2025-09-10,2025-09-10,1976-05-01,418.3
2025-09-10,2025-09-10,1976-06-01,420.0
2025-09-10,2025-09-10,1976-07-01,423.5
2025-09-10,2025-09-10,1976-08-01,428.5
2025-09-10,2025-09-10,1976-09-01,433.6
2025-09-10,2025-09-10,1976-10-01,439.8
2025-09-10,2025-09-10,1976-11-01,447.1
2025-09-10,2025-09-10,1976-12-01,453.2
2025-09-10,2025-09-10,1977-01-01,459.1
2025-09-10,2025-09-10,1977-02-01,463.3
2025-09-10,2025-09-10,1977-03-01,466.3
2025-09-10,2025-09-10,1977-04-01,470.0
2025-09-10,2025-09-10,1977-05-01,472.6
2025-09-10,2025-09-10,1977-06-01,474.5
2025-09-10,2025-09-10,1977-07-01,477.6
2025-09-10,2025-09-10,1977-08-01,481.9
